公历日期,公历年,公历月,公历日,上中下旬,周数,星期,农历年,农历月,农历日,是否闰月,生肖,干支年,干支月,干支日,节气,是否节假日,是否工作日,节日名称
2025-01-01,2025,1,1,上旬,1,周三,2024,12,2,否,龙,甲辰,丙子,庚午,,是,否,New Year's Day
2025-01-02,2025,1,2,上旬,1,周四,2024,12,3,否,龙,甲辰,丙子,辛未,,否,是,
2025-01-03,2025,1,3,上旬,1,周五,2024,12,4,否,龙,甲辰,丙子,壬申,,否,是,
2025-01-04,2025,1,4,上旬,1,周六,2024,12,5,否,龙,甲辰,丙子,癸酉,,是,否,
2025-01-05,2025,1,5,上旬,1,周日,2024,12,6,否,龙,甲辰,丁丑,甲戌,小寒,是,否,
2025-01-06,2025,1,6,上旬,2,周一,2024,12,7,否,龙,甲辰,丁丑,乙亥,,否,是,
2025-01-07,2025,1,7,上旬,2,周二,2024,12,8,否,龙,甲辰,丁丑,丙子,,否,是,
2025-01-08,2025,1,8,上旬,2,周三,2024,12,9,否,龙,甲辰,丁丑,丁丑,,否,是,
2025-01-09,2025,1,9,上旬,2,周四,2024,12,10,否,龙,甲辰,丁丑,戊寅,,否,是,
2025-01-10,2025,1,10,上旬,2,周五,2024,12,11,否,龙,甲辰,丁丑,己卯,,否,是,
2025-01-11,2025,1,11,中旬,2,周六,2024,12,12,否,龙,甲辰,丁丑,庚辰,,是,否,
2025-01-12,2025,1,12,中旬,2,周日,2024,12,13,否,龙,甲辰,丁丑,辛巳,,是,否,
2025-01-13,2025,1,13,中旬,3,周一,2024,12,14,否,龙,甲辰,丁丑,壬午,,否,是,
2025-01-14,2025,1,14,中旬,3,周二,2024,12,15,否,龙,甲辰,丁丑,癸未,,否,是,
2025-01-15,2025,1,15,中旬,3,周三,2024,12,16,否,龙,甲辰,丁丑,甲申,,否,是,
2025-01-16,2025,1,16,中旬,3,周四,2024,12,17,否,龙,甲辰,丁丑,乙酉,,否,是,
2025-01-17,2025,1,17,中旬,3,周五,2024,12,18,否,龙,甲辰,丁丑,丙戌,,否,是,
2025-01-18,2025,1,18,中旬,3,周六,2024,12,19,否,龙,甲辰,丁丑,丁亥,,是,否,
